"","Isolate","Accession_number","Collection_time","Country","Continent","Genotype","Source"
"53","FR6031","ERR2102162","2015","France","Europe","ptxP3/fim3-2","Bouchez et. al. (2018)"
"54","FR6050","ERR2102163","2015","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2018)"
"55","FR0270","ERR5101983","1996","France","Europe","Others","NCBI"
"56","FR0694","ERR5101984","1999","France","Europe","Others","NCBI"
"57","FR3469","ERR5101988","2005","France","Europe","ptxP3/fim3-2","Bouchez et al., 2021"
"58","FR3749","ERR5101986","2007","France","Europe","Others","Bouchez et. al. (2009)"
"59","FR6595","ERR5101987","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"60","FR0432","ERR5101985","1997","France","Europe","ptxP1/fim3-1","Bouchez et al., 2021"
"61","FR0658","ERR5101989","1998","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"62","FR4624","ERR5101990","2009","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"63","FR5771","ERR5101991","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"64","FR5683","ERR5101992","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"65","FR3098","ERR5101993","2004","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"66","FR3112","ERR5101994","2004","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"67","FR3276","ERR5101995","2005","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"68","FR3421","ERR5101996","2005","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"69","FR3424","ERR5101997","2005","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"70","FR3512","ERR5101998","2006","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"71","FR3693","ERR5101999","2007","France","Europe","ptxP3/fim3-1","Bouchez et. al. (2009)"
"72","FR3705","ERR5102000","2007","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"73","FR3708","ERR5102001","2007","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"74","FR3793","ERR5102002","2007","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"75","FR3925","ERR5102003","2008","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"76","FR4028","ERR5102004","2009","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"77","FR4068","ERR5102005","2009","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"78","FR4072","ERR5102006","2009","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"79","FR4591","ERR5102007","2009","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"80","FR4596","ERR5102008","2009","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"81","FR4611","ERR5102009","2009","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"82","FR4612","ERR5102010","2009","France","Europe","ptxP3/fim3-2","NCBI"
"83","FR4671","ERR5102011","2010","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"84","FR4683","ERR5102012","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"85","FR4684","ERR5102013","2010","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"86","FR4688","ERR5102014","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"87","FR4698","ERR5102015","2010","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"88","FR4868","ERR5102016","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"89","FR4873","ERR5102017","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"90","FR4882","ERR5102018","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"91","FR4913","ERR5102019","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"92","FR4916","ERR5102020","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"93","FR4923","ERR5102021","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"94","FR4937","ERR5102022","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"95","FR4947","ERR5102023","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"96","FR4950","ERR5102024","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"97","FR4952","ERR5102025","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"98","FR4953","ERR5102026","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"99","FR4963","ERR5102027","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"100","FR4964","ERR5102028","2011","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"101","FR5001","ERR5102029","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"102","FR5018","ERR5102030","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"103","FR5027","ERR5102031","2011","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"104","FR5043","ERR5102032","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"105","FR5126","ERR5102033","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"106","FR5186","ERR5102034","2012","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"107","FR5187","ERR5102035","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"108","FR5189","ERR5102036","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"109","FR5224","ERR5102037","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"110","FR5256","ERR5102038","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"111","FR5257","ERR5102039","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"112","FR5259","ERR5102040","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"113","FR5261","ERR5102041","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"114","FR5290","ERR5102042","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"115","FR5299","ERR5102043","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"116","FR5302","ERR5102044","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"117","FR5308","ERR5102045","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"118","FR5317","ERR5102046","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"119","FR5345","ERR5102047","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"120","FR5347","ERR5102048","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"121","FR5363","ERR5102049","2012","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"122","FR5388","ERR5102050","2012","France","Europe","ptxP3/fim3-1","Hegerle et. al. (2014)"
"123","FR5391","ERR5102051","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"124","FR5394","ERR5102052","2012","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"125","FR5433","ERR5102053","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"126","FR5461","ERR5102054","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"127","FR5465","ERR5102055","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"128","FR5477","ERR5102056","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"129","FR5478","ERR5102057","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"130","FR5481","ERR5102058","2013","France","Europe","ptxP3/fim3-2","NCBI"
"131","FR5490","ERR5102059","2013","France","Europe","ptxP3/fim3-1","NCBI"
"132","FR5495","ERR5102060","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"133","FR5506","ERR5102061","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"134","FR5516","ERR5102062","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"135","FR5563","ERR5102063","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"136","FR5570","ERR5102064","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"137","FR5579","ERR5102065","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"138","FR5685","ERR5102066","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"139","FR5686","ERR5102067","2013","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"140","FR5697","ERR5102068","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"141","FR5713","ERR5102069","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"142","FR5714","ERR5102070","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"143","FR5742","ERR5102071","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"144","FR5746","ERR5102072","2013","France","Europe","ptxP3/fim3-2","NCBI"
"145","FR5772","ERR5102073","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"146","FR5781","ERR5102074","2013","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"147","FR5845","ERR5102075","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"148","FR5851","ERR5102076","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"149","FR5875","ERR5102077","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"150","FR5916","ERR5102078","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"151","FR5938","ERR5102079","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"152","FR5947","ERR5102080","2014","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"153","FR5952","ERR5102081","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"154","FR5956","ERR5102082","2014","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"155","FR5982","ERR5102083","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"156","FR5991","ERR5102084","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"157","FR5998","ERR5102085","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"158","FR5999","ERR5102086","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"159","FR6024","ERR5102087","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"160","FR6035","ERR5102088","2015","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"161","FR6037","ERR5102089","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"162","FR6040","ERR5102090","2015","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"163","FR6041","ERR5102091","2015","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"164","FR6064","ERR5102092","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"165","FR6069","ERR5102093","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"166","FR6070","ERR5102094","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"167","FR6080","ERR5102095","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"168","FR6081","ERR5102096","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"169","FR6083","ERR5102097","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"170","FR6085","ERR5102098","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"171","FR6093","ERR5102099","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"172","FR6142","ERR5102100","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"173","FR6143","ERR5102101","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"174","FR6152","ERR5102102","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"175","FR6160","ERR5102103","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"176","FR6163","ERR5102104","2016","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"177","FR6164","ERR5102105","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"178","FR6173","ERR5102106","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"179","FR6174","ERR5102107","2016","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"180","FR6183","ERR5102108","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"181","FR6194","ERR5102109","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"182","FR6237","ERR5102110","2017","France","Europe","Others","Lefrancq & Bouchez et al., 2022"
"183","FR6238","ERR5102111","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"184","FR6239","ERR5102112","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"185","FR6241","ERR5102113","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"186","FR6246","ERR5102114","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"187","FR6247","ERR5102115","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"188","FR6270","ERR5102116","2017","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"189","FR6305","ERR5102117","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"190","FR6322","ERR5102118","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"191","FR6323","ERR5102119","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"192","FR6327","ERR5102120","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"193","FR6350","ERR5102121","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"194","FR6354","ERR5102122","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"195","FR6356","ERR5102123","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"196","FR6360","ERR5102124","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"197","FR6361","ERR5102125","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"198","FR6362","ERR5102126","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"199","FR6365","ERR5102127","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"200","FR6368","ERR5102128","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"201","FR6374","ERR5102129","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"202","FR6385","ERR5102130","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"203","FR6386","ERR5102131","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"204","FR6388","ERR5102132","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"205","FR6390","ERR5102133","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"206","FR6393","ERR5102134","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"207","FR6394","ERR5102135","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"208","FR6397","ERR5102136","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"209","FR6398","ERR5102137","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"210","FR6403","ERR5102138","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"211","FR6415","ERR5102139","2017","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"212","FR6419","ERR5102140","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"213","FR6424","ERR5102141","2017","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"214","FR6428","ERR5102142","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"215","FR6462","ERR5102143","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"216","FR6463","ERR5102144","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"217","FR6466","ERR5102145","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"218","FR6469","ERR5102146","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"219","FR6470","ERR5102147","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"220","FR6497","ERR5102148","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"221","FR6510","ERR5102149","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"222","FR6520","ERR5102150","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"223","FR6522","ERR5102151","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"224","FR6525","ERR5102152","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"225","FR6527","ERR5102153","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"226","FR6537","ERR5102154","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"227","FR6538","ERR5102155","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"228","FR6539","ERR5102156","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"229","FR6548","ERR5102157","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"230","FR6568","ERR5102158","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"231","FR6573","ERR5102159","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"232","FR6585","ERR5102160","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"233","FR6589","ERR5102161","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"234","FR6596","ERR5102162","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"235","FR6600","ERR5102163","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"236","FR6610","ERR5102164","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"237","FR6616","ERR5102165","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"238","FR6620","ERR5102166","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"239","FR6625","ERR5102167","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"240","FR6626","ERR5102168","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"241","FR6632","ERR5102169","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"242","FR6641","ERR5102170","2018","France","Europe","ptxP3/fim3-2","Lefrancq & Bouchez et al., 2022"
"243","FR6643","ERR5102171","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"244","FR6686","ERR5102172","2018","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"245","CIP5456","ERR6044068","1953","France","Europe","Others","Lefrancq & Bouchez et al., 2022"
"246","FR0063","ERR6044069","1993","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"247","FR0095","ERR6044070","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"248","FR0096","ERR6044071","1994","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"249","FR0099","ERR6044072","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"250","FR0101","ERR6044073","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"251","FR0102","ERR6044074","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"252","FR0103","ERR6044075","1994","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
"253","FR0105","ERR6044076","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"254","FR0106","ERR6044077","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"255","FR0107","ERR6044078","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"256","FR0108","ERR6044079","1994","France","Europe","ptxP1/fim3-1","Lefrancq & Bouchez et al., 2022"
"257","FR0109","ERR6044080","1994","France","Europe","ptxP3/fim3-1","Lefrancq & Bouchez et al., 2022"
