"","Isolate","Accession_number","Collection_time","Country","Nextstrain_clade","Source"
"66","hCoV-19/PuertoRico/PR-CDC-S7/2020","EPI_ISL_434547",2020.228,"PuertoRico","19B","GISAID"
"67","hCoV-19/Canada/NS-NML-940/2020","EPI_ISL_579572",2020.231,"Canada","19B","GISAID"
"68","hCoV-19/U.S.VirginIslands/VI-CDC-03083817-001/2020","EPI_ISL_452122",2020.225,"U.S.VirginIslands","19B","GISAID"
"69","hCoV-19/Australia/SA0375/2020","EPI_ISL_492140",2020.22,"Australia","19B","GISAID"
"70","hCoV-19/Venezuela/1Z/2020","EPI_ISL_1577817",2020.206,"Venezuela","19B","GISAID"
"71","hCoV-19/EquatorialGuinea/253/2020","EPI_ISL_648318",2020.228,"EquatorialGuinea","19B","GISAID"
"72","hCoV-19/Spain/VC-FISABIO-54/2020","EPI_ISL_425178",2020.16,"Spain","19B","GISAID"
"73","hCoV-19/Kazakhstan/7263/2020","EPI_ISL_454571",2020.231,"Kazakhstan","19B","GISAID"
"74","hCoV-19/Panama/GMI-PA396855/2020","EPI_ISL_1225485",2020.482,"Panama","19B","GISAID"
"75","hCoV-19/Panama/335026-GMI/2020","EPI_ISL_13105094",2020.25,"Panama","19B","GISAID"
"76","hCoV-19/Panama/GMI-PA389033/2020","EPI_ISL_1225475",2020.463,"Panama","19B","GISAID"
"77","hCoV-19/Panama/GMI-PA369152/2020","EPI_ISL_1225446",2020.406,"Panama","19B","GISAID"
"78","hCoV-19/Panama/334256/2020","EPI_ISL_496770",2020.234,"Panama","19B","GISAID"
"79","hCoV-19/Panama/GMI-PA341363/2020","EPI_ISL_1225330",2020.286,"Panama","19B","GISAID"
"80","hCoV-19/Panama/GMI-PA342605/2020","EPI_ISL_1225338",2020.291,"Panama","19B","GISAID"
"81","hCoV-19/Panama/GMI-PA719359/2021","EPI_ISL_4744614",2021.19,"Panama","19B","GISAID"
"82","hCoV-19/Panama/GMI-PA641589/2021","EPI_ISL_1502957",2021.012,"Panama","19B","GISAID"
"83","hCoV-19/Panama/GMI-PA712609/2021","EPI_ISL_1503119",2021.16,"Panama","19B","GISAID"
"84","hCoV-19/Paraguay/iics_12209/2021","EPI_ISL_2444836",2021.278,"Paraguay","19B","GISAID"
"85","hCoV-19/Panama/PA766320-GMI/2021","EPI_ISL_11686265",2021.538,"Panama","19B","GISAID"
"86","hCoV-19/Panama/GMI-PA584303/2020","EPI_ISL_1001458",2020.928,"Panama","19B","GISAID"
"87","hCoV-19/Panama/GMI-PA700792/2021","EPI_ISL_1503092",2021.119,"Panama","19B","GISAID"
"88","hCoV-19/Panama/GMI-PABT9822/2021","EPI_ISL_11681759",2021.341,"Panama","19B","GISAID"
"89","hCoV-19/Panama/GMI-PA677127/2021","EPI_ISL_1503132",2021.053,"Panama","19B","GISAID"
"90","hCoV-19/Nicaragua/MAN-5869_01_SR1/2021","EPI_ISL_9159965",2021.527,"Nicaragua","19B","GISAID"
"91","hCoV-19/Panama/GMI-PA677161/2021","EPI_ISL_1503133",2021.053,"Panama","19B","GISAID"
"92","hCoV-19/Honduras/CM-USAFSAM-S4223/2021","EPI_ISL_3375859",2021.401,"Honduras","19B","GISAID"
"93","hCoV-19/Nicaragua/MAN-57986/2021","EPI_ISL_10281015",2021.147,"Nicaragua","19B","GISAID"
"94","hCoV-19/Nicaragua/MAN-112497/2021","EPI_ISL_10280994",2021.547,"Nicaragua","19B","GISAID"
"95","hCoV-19/CostaRica/INC-0547/2021","EPI_ISL_2103400",2021.245,"CostaRica","19B","GISAID"
"96","hCoV-19/CostaRica/INC-0571/2021","EPI_ISL_2272958",2021.27,"CostaRica","19B","GISAID"
"97","hCoV-19/Belize/CML-114/2021","EPI_ISL_4296418",2021.486,"Belize","19B","GISAID"
"98","hCoV-19/Guatemala/ASI4237/2021","EPI_ISL_3835415",2021.527,"Guatemala","19B","GISAID"
"99","hCoV-19/Guatemala/ASI3038/2021","EPI_ISL_7740281",2021.47,"Guatemala","19B","GISAID"
"100","hCoV-19/Guatemala/ASI3048/2021","EPI_ISL_7740277",2021.445,"Guatemala","19B","GISAID"
"101","hCoV-19/Kyrgyzstan/NRL-455/2020","EPI_ISL_13283915",2020.318,"Kyrgyzstan","19B","GISAID"
"102","hCoV-19/Coted-Ivoire/BKE0965/2020","EPI_ISL_614393",2020.676,"Coted-Ivoire","19B","GISAID"
"103","hCoV-19/BurkinaFaso/CV1806/2020","EPI_ISL_4255057",2020.969,"BurkinaFaso","19B","GISAID"
"104","hCoV-19/Mali/M00959/2020","EPI_ISL_2683873",2020.441,"Mali","19B","GISAID"
"105","hCoV-19/Coted-Ivoire/BKE1695-bc82/2021","EPI_ISL_1367698",2021.056,"Coted-Ivoire","19B","GISAID"
"106","hCoV-19/CentralAfricanRepublic/23743/2020","EPI_ISL_2281228",2020.898,"CentralAfricanRepublic","19B","GISAID"
"107","hCoV-19/BurkinaFaso/3570/2020","EPI_ISL_660468",2020.772,"BurkinaFaso","19B","GISAID"
"108","hCoV-19/BurkinaFaso/2598/2020","EPI_ISL_660459",2020.704,"BurkinaFaso","19B","GISAID"
"109","hCoV-19/BurkinaFaso/CHUSS_4753/2020","EPI_ISL_7459493",2020.903,"BurkinaFaso","19B","GISAID"
"110","hCoV-19/Somalia/CV1159/2020","EPI_ISL_2107094",2020.518,"Somalia","19B","GISAID"
"111","hCoV-19/Sudan/N6669/2020","EPI_ISL_4739598",2020.764,"Sudan","19B","GISAID"
"112","hCoV-19/Bahrain/BAH-12/2020","EPI_ISL_483553",2020.245,"Bahrain","19B","GISAID"
"113","hCoV-19/Sweden/20-22156/2020","EPI_ISL_623085",2020.425,"Sweden","19B","GISAID"
"114","hCoV-19/Denmark/DCGC-2446/2020","EPI_ISL_617406",2020.608,"Denmark","19B","GISAID"
"115","hCoV-19/Uganda/UG017/2020","EPI_ISL_451199",2020.302,"Uganda","19B","GISAID"
"116","hCoV-19/Kenya/BCRH-1204-20/2020","EPI_ISL_2779396",2020.695,"Kenya","19B","GISAID"
"117","hCoV-19/Zambia/ZMB-1241/2020","EPI_ISL_977357",2020.266,"Zambia","19B","GISAID"
"118","hCoV-19/Cambodia/127828/2020","EPI_ISL_918366",2020.911,"Cambodia","19B","GISAID"
"119","hCoV-19/Uganda/UG146/2020","EPI_ISL_954249",2020.668,"Uganda","19B","GISAID"
"120","hCoV-19/Uganda/UG219/2021","EPI_ISL_1469317",2021.051,"Uganda","19B","GISAID"
"121","hCoV-19/Rwanda/NRLNAT4046/2021","EPI_ISL_2521983",2021.221,"Rwanda","19B","GISAID"
"122","hCoV-19/Rwanda/NRLNAT4038/2021","EPI_ISL_2362525",2021.295,"Rwanda","19B","GISAID"
"123","hCoV-19/Uganda/087/2021","EPI_ISL_13860475",2021.585,"Uganda","19B","GISAID"
"124","hCoV-19/Rwanda/CV2186/2021","EPI_ISL_4768130",2021.221,"Rwanda","19B","GISAID"
"125","hCoV-19/Rwanda/NRLNAT4009/2021","EPI_ISL_2362497",2021.127,"Rwanda","19B","GISAID"
"126","hCoV-19/Oman/89477/2020","EPI_ISL_766570",2020.974,"Oman","19B","GISAID"
"127","hCoV-19/Jordan/IR-ALSR-2578/2020","EPI_ISL_635777",2020.482,"Jordan","19B","GISAID"
"128","hCoV-19/GuineaBissau/52LNSPGB/2020","EPI_ISL_2158598",2020.223,"GuineaBissau","19B","GISAID"
"129","hCoV-19/Niger/73/2020","EPI_ISL_2835622",2020.231,"Niger","19B","GISAID"
"130","hCoV-19/Niger/EP132/2020","EPI_ISL_2281837",2020.914,"Niger","19B","GISAID"
"131","hCoV-19/Coted-Ivoire/316001-cv216/2021","EPI_ISL_9913618",2021.341,"Coted-Ivoire","19B","GISAID"
"132","hCoV-19/Rwanda/NRLNAT1088/2020","EPI_ISL_1020288",2020.96,"Rwanda","19B","GISAID"
"133","hCoV-19/Guinea/CERFIG-23158/2021","EPI_ISL_4219400",2021.319,"Guinea","19B","GISAID"
"134","hCoV-19/Niger/2826/2020","EPI_ISL_2281790",2020.25,"Niger","19B","GISAID"
"135","hCoV-19/Niger/7322/2020","EPI_ISL_2281822",2020.512,"Niger","19B","GISAID"
"136","hCoV-19/Togo/BMC-16660-20/2020","EPI_ISL_1433132",2020.403,"Togo","19B","GISAID"
"137","hCoV-19/Niger/ZR-188/2020","EPI_ISL_2835635",2020.906,"Niger","19B","GISAID"
"138","hCoV-19/Coted-Ivoire/BKE0369/2020","EPI_ISL_614374",2020.496,"Coted-Ivoire","19B","GISAID"
"139","hCoV-19/Coted-Ivoire/BKE0355/2020","EPI_ISL_614373",2020.493,"Coted-Ivoire","19B","GISAID"
"140","hCoV-19/Coted-Ivoire/BKE0405/2020","EPI_ISL_614375",2020.805,"Coted-Ivoire","19B","GISAID"
"141","hCoV-19/Coted-Ivoire/BKE0366/2020","EPI_ISL_681834",2020.501,"Coted-Ivoire","19B","GISAID"
"142","hCoV-19/Tunisia/P1603/2020","EPI_ISL_11172672",2020.463,"Coted-Ivoire","19B","GISAID"
"143","hCoV-19/Gabon/U0604/2020","EPI_ISL_11522703",2020.28,"Tunisia","19A","GISAID"
"144","hCoV-19/Sweden/20-52115/2020","EPI_ISL_582835",2020.772,"Gabon","19A","GISAID"
"145","hCoV-19/Canada/NL-NML-2388/2020","EPI_ISL_1055388",2020.474,"Sweden","20A","GISAID"
"146","hCoV-19/Gabon/K0688/2020","EPI_ISL_11522714",2020.258,"Canada","20A","GISAID"
"147","hCoV-19/Canada/QC-JUS-V6020812/2020","EPI_ISL_890029",2020.286,"Gabon","20A","GISAID"
"148","hCoV-19/DRC/165/2020","EPI_ISL_2982482",2020.255,"Canada","20A","GISAID"
"149","hCoV-19/Germany/BAV-MVP0108/2020","EPI_ISL_548950",2020.217,"DRC","20A","GISAID"
"150","hCoV-19/Pakistan/JRCGR-KHI22/2020","EPI_ISL_779257",2020.283,"Germany","20A","GISAID"
"151","hCoV-19/Senegal/9838/2020","EPI_ISL_498231",2020.337,"Pakistan","20A","GISAID"
"152","hCoV-19/Norway/2514/2020","EPI_ISL_2225698",2020.316,"Senegal","20A","GISAID"
"153","hCoV-19/Malta/BAL-Sliema-3/2020","EPI_ISL_576119",2020.346,"Norway","20A","GISAID"
"154","hCoV-19/Malta/BAL-Sliema-1/2020","EPI_ISL_576117",2020.619,"Malta","20A","GISAID"
"155","hCoV-19/Malta/BAL-Sliema-5/2020","EPI_ISL_576121",2020.633,"Malta","20A","GISAID"
"156","hCoV-19/Aruba/AW-RIVM-10115/2020","EPI_ISL_547448",2020.635,"Malta","20A","GISAID"
"157","hCoV-19/Senegal/142036/2020","EPI_ISL_8526030",2020.217,"Aruba","20A","GISAID"
"158","hCoV-19/Guinea/Conakry_IPG15593/2020","EPI_ISL_2245866",2020.971,"Senegal","20A","GISAID"
"159","hCoV-19/Congo/ROTC-Q001C129AL_2101TM-r1-043/2021","EPI_ISL_936340",2020.9,"Guinea","20A","GISAID"
"160","hCoV-19/Cameroon/CV416/2020","EPI_ISL_845551",2021.018,"Congo","20A","GISAID"
"161","hCoV-19/Haiti/33984/2020","EPI_ISL_2157562",2020.616,"Cameroon","20A","GISAID"
"162","hCoV-19/USA/RI_RKL_001_55410_AM623/2020","EPI_ISL_2000598",2020.305,"Haiti","20A","GISAID"
"163","hCoV-19/Djibouti/NAMRU3_A04/2020","EPI_ISL_3845307",2020.463,"USA","20A","GISAID"
"164","hCoV-19/Djibouti/NAMRU3_A07/2020","EPI_ISL_3845313",2020.876,"Djibouti","20A","GISAID"
"165","hCoV-19/Australia/SA0089/2020","EPI_ISL_451124",2020.876,"Djibouti","20A","GISAID"
"166","hCoV-19/USA/MA-MGH-02739/2020","EPI_ISL_765609",2020.25,"Australia","20A","GISAID"
"167","hCoV-19/CentralAfricanRepublic/LNBCSP016/2022","EPI_ISL_17423771",2020.745,"USA","20A","GISAID"
"168","hCoV-19/Egypt/MASRI-C5-015/2020","EPI_ISL_1109627",2022.421,"CentralAfricanRepublic","20A","GISAID"
"169","hCoV-19/Chile/Santiago-PUC_MVL_0351/2020","EPI_ISL_801782",2020.449,"Egypt","20A","GISAID"
"170","hCoV-19/Lebanon/LAU-R19/2020","EPI_ISL_8311716",2020.359,"Chile","20A","GISAID"
"171","hCoV-19/USA/MN-Mayo418/2020","EPI_ISL_13684888",2020.332,"Lebanon","20A","GISAID"
"172","hCoV-19/India/UP-NBRI-N40-TCQ729/2020","EPI_ISL_516969",2020.572,"USA","20A","GISAID"
"173","hCoV-19/Morocco/6891/2020","EPI_ISL_459969",2020.239,"India","20A","GISAID"
"174","hCoV-19/USA/MA-MASPHL-00102/2020","EPI_ISL_791585",2020.217,"Morocco","20A","GISAID"
"175","hCoV-19/Togo/BMC-1284-20/2020","EPI_ISL_1415428",2020.255,"USA","20A","GISAID"
"176","hCoV-19/Norway/02729/2020","EPI_ISL_2333178",2020.261,"Togo","20A","GISAID"
"177","hCoV-19/Kashgar/IVDC-01-01/2020","EPI_ISL_850950",2020.291,"Norway","20A","GISAID"
"178","hCoV-19/Afghanistan/IMB07970/2020","EPI_ISL_1001004",2020.829,"Kashgar","20A","GISAID"
"179","hCoV-19/Venezuela/Apu680/2021","EPI_ISL_15104813",2020.449,"Afghanistan","20A","GISAID"
"180","hCoV-19/Venezuela/Zul3098/2021","EPI_ISL_17283577",2021.125,"Venezuela","20A","GISAID"
"181","hCoV-19/Curacao/CW-RIVM-41646/2021","EPI_ISL_2862955",2021.385,"Venezuela","21H(Mu)","GISAID"
"182","hCoV-19/Colombia/VAC-ICE-SCOV-266/2021","EPI_ISL_6442217",2021.453,"Curacao","21H(Mu)","GISAID"
"183","hCoV-19/PuertoRico/PR-CDC-ASC210061431/2021","EPI_ISL_4366486",2021.716,"Colombia","21H(Mu)","GISAID"
"184","hCoV-19/Panama/GMI-PASEQ436/2021","EPI_ISL_11695604",2021.355,"PuertoRico","21H(Mu)","GISAID"
"185","hCoV-19/Mexico/QUE-InDRE_FB18356_S4282/2021","EPI_ISL_2966407",2021.667,"Panama","21H(Mu)","GISAID"
"186","hCoV-19/Venezuela/Por8406/2021","EPI_ISL_10728906",2021.478,"Mexico","21H(Mu)","GISAID"
"187","hCoV-19/Colombia/DC-LSPSDS-VG-845627/2021","EPI_ISL_8357377",2021.651,"Venezuela","21H(Mu)","GISAID"
"188","hCoV-19/Chile/RM-132970/2021","EPI_ISL_11976090",2021.552,"Colombia","21H(Mu)","GISAID"
"189","hCoV-19/Chile/AN-ISPC-131692/2021","EPI_ISL_17028749",2021.585,"Chile","21H(Mu)","GISAID"
"190","hCoV-19/Bolivia/LaPaz_GM3-1/2021","EPI_ISL_6572162",2021.563,"Chile","21H(Mu)","GISAID"
"191","hCoV-19/Bolivia/INLASA-Pt16289/2021","EPI_ISL_11497375",2021.418,"Bolivia","21H(Mu)","GISAID"
"192","hCoV-19/USA/OR-OSPHL01412/2021","EPI_ISL_3133353",2021.779,"Bolivia","21H(Mu)","GISAID"
"193","hCoV-19/Colombia/DC-INS-VG-5298/2021","EPI_ISL_15196436",2021.555,"USA","21H(Mu)","GISAID"
"194","hCoV-19/Canada/NL-NML-2419/2020","EPI_ISL_1055408",2021.423,"Colombia","21H(Mu)","GISAID"
"195","hCoV-19/Afghanistan/IMB07958/2020","EPI_ISL_1000998",2020.654,"Canada","20A","GISAID"
"196","hCoV-19/SaudiArabia/KAUST-MADINAH1688/2020","EPI_ISL_751501",2020.449,"Afghanistan","20A","GISAID"
"197","hCoV-19/Haiti/49210196/2020","EPI_ISL_14186931",2020.643,"SaudiArabia","20A","GISAID"
"198","hCoV-19/Venezuela/NE064/2020","EPI_ISL_15104889",2020.381,"Haiti","20A","GISAID"
"199","hCoV-19/TrinidadandTobago/5374/2021","EPI_ISL_8939004",2020.706,"Venezuela","20A","GISAID"
"200","hCoV-19/Venezuela/Por362/2020","EPI_ISL_15104853",2021.067,"TrinidadandTobago","20A","GISAID"
"201","hCoV-19/Colombia/TOL-INS-FLUCOV-TO-0122/2020","EPI_ISL_11298311",2020.925,"Venezuela","20A","GISAID"
"202","hCoV-19/Lebanon/QIB-12/2020","EPI_ISL_3358467",2020.835,"Colombia","20A","GISAID"
"203","hCoV-19/Morocco/FMP-88/2021","EPI_ISL_1810936",2020.993,"Lebanon","20A","GISAID"
"204","hCoV-19/Colombia/AMA-GUR-06761/2020","EPI_ISL_941132",2021.018,"Morocco","20A","GISAID"
"205","hCoV-19/Italy/LAZ-OPBG_114/2020","EPI_ISL_7671803",2020.332,"Colombia","20A","GISAID"
"206","hCoV-19/Belarus/ChVir21897/2020","EPI_ISL_860799",2020.428,"Italy","20A","GISAID"
"207","hCoV-19/Colombia/un-INS-VG-197/2020","EPI_ISL_16314507",2020.818,"Belarus","20A","GISAID"
"208","hCoV-19/Colombia/COR-U14/2021","EPI_ISL_2339865",2020.63,"Colombia","20A","GISAID"
"209","hCoV-19/Canada/ABPHL-02380/2020","EPI_ISL_2162953",2021.149,"Colombia","20A","GISAID"
"210","hCoV-19/Canada/NL-NML-5801/2021","EPI_ISL_1055450",2020.99,"Canada","20A","GISAID"
"211","hCoV-19/Canada/NL-NML-3103/2020","EPI_ISL_1055422",2021.007,"Canada","20A","GISAID"
"212","hCoV-19/Canada/BC-BCCDC-27254/2021","EPI_ISL_2523805",2020.878,"Canada","20A","GISAID"
"213","hCoV-19/Canada/ABPHL-10876/2021","EPI_ISL_2168668",2021.136,"Canada","20A","GISAID"
"214","hCoV-19/Canada/BC-BCCDC-180930/2021","EPI_ISL_4422609",2021.226,"Canada","20A","GISAID"
"215","hCoV-19/Italy/LAZ-AMC-20081849759-DS/2020","EPI_ISL_1854991",2021.188,"Canada","20A","GISAID"
"216","hCoV-19/SaudiArabia/KAIMRC-0000026/2020","EPI_ISL_14569380",2020.63,"Italy","20A","GISAID"
"217","hCoV-19/Afghanistan/IMB07964/2020","EPI_ISL_1001001",2020.255,"SaudiArabia","20A","GISAID"
"218","hCoV-19/SaudiArabia/KAUST-MADINAH644/2020","EPI_ISL_513173",2020.411,"Afghanistan","20A","GISAID"
"219","hCoV-19/Indonesia/JK-LIPI033/2020","EPI_ISL_1117457",2020.305,"SaudiArabia","20A","GISAID"
"220","hCoV-19/India/AP-CS0362/2020","EPI_ISL_862530",2020.684,"Indonesia","20A","GISAID"
"221","hCoV-19/Indonesia/JI-RSDS-RCVTD-UNAIR-33-C/2020","EPI_ISL_1366273",2020.507,"India","20A","GISAID"
"222","hCoV-19/Malaysia/UNIMAS-B084/2020","EPI_ISL_1363122",2020.48,"Indonesia","20A","GISAID"
"223","hCoV-19/Algeria/100756/2020","EPI_ISL_15928088",2020.955,"Malaysia","20A","GISAID"
"224","hCoV-19/Algeria/131466/2020","EPI_ISL_12156736",2020.783,"Algeria","20A","GISAID"
"225","hCoV-19/Vietnam/PY-57/2020","EPI_ISL_17373284",2020.911,"Algeria","20A","GISAID"
"226","hCoV-19/France/ARA-CFD200059659101/2020","EPI_ISL_1910411",2020.939,"Vietnam","20A","GISAID"
"227","hCoV-19/Switzerland/SO-ETHZ-520232/2020","EPI_ISL_1260409",2020.865,"France","20A","GISAID"
"228","hCoV-19/Curacao/CW-RIVM-13012/2021","EPI_ISL_1035770",2020.903,"Switzerland","20A","GISAID"
"229","hCoV-19/USA/NJ-CDC-LC0003493/2021","EPI_ISL_886776",2021.073,"Curacao","20A","GISAID"
"230","hCoV-19/Switzerland/SO-ETHZ-490410/2021","EPI_ISL_1130491",2021.029,"USA","20A","GISAID"
"231","hCoV-19/Netherlands/UT-RIVM-12906/2021","EPI_ISL_1035430",2021.097,"Switzerland","20A","GISAID"
"232","hCoV-19/Australia/NSW1200/2020","EPI_ISL_667800",2021.1,"Netherlands","20A","GISAID"
"233","hCoV-19/Hungary/UD-94339/2020","EPI_ISL_678387",2020.851,"Australia","20A","GISAID"
"234","hCoV-19/Hungary/HM-0202-23/2021","EPI_ISL_1041209",2020.769,"Hungary","20A","GISAID"
"235","hCoV-19/Slovakia/CeMM4272/2021","EPI_ISL_1495185",2021.089,"Hungary","20A","GISAID"
"236","hCoV-19/Austria/CeMM5632/2020","EPI_ISL_1495588",2021.089,"Slovakia","20A","GISAID"
"237","hCoV-19/England/BRIS-18533FB/2020","EPI_ISL_492435",2020.734,"Austria","20A","GISAID"
"238","hCoV-19/Pakistan/NIH-27/2020","EPI_ISL_1710507",2020.264,"England","20A","GISAID"
